15um				
/Hugo/2014/07012014/Gate Freq swp a			Power=100dBm	
	0V		20V	
f	Amp	Phase	Amp	Phase
5284090000	-65.4882259	-61.4963533	-65.2792668	-59.0604133
5284100000	-65.1511539	-61.4051507	-65.331109	-58.8618135
5284110000	-65.0546132	-61.0521647	-65.1332283	-58.0202844
5284120000	-65.0706319	-61.5567074	-64.9014705	-58.3057431
5284130000	-64.8311669	-60.9503009	-64.6221768	-57.6315827
5284140000	-64.612241	-61.0106697	-64.5222527	-57.8816767
5284150000	-64.342684	-59.8343402	-64.3316687	-56.4812273
5284160000	-64.2061056	-59.0720236	-64.1181853	-56.8921042
5284170000	-64.0156209	-59.2650022	-63.9613091	-56.0438928
5284180000	-63.7405356	-59.2399392	-63.7773939	-56.0679219
5284190000	-63.62205	-58.4289818	-63.6166078	-56.2305232
5284200000	-63.4410251	-58.7237658	-63.3894534	-54.8910134
5284210000	-63.181337	-57.6184417	-63.0565452	-54.4311955
5284220000	-62.9698602	-57.0803479	-62.8949291	-54.0342138
5284230000	-62.7352367	-57.5090688	-62.6421874	-54.1948133
5284240000	-62.5212637	-57.1469458	-62.4049557	-54.3013363
5284250000	-62.2944045	-56.4939594	-62.2234735	-53.4738463
5284260000	-61.9643721	-55.1572083	-61.8717397	-53.0346368
5284270000	-61.7612194	-56.1892724	-61.6532569	-52.2184605
5284280000	-61.5452601	-55.5179597	-61.3049729	-52.0807451
5284290000	-61.2312125	-54.8945961	-61.1353041	-51.6269908
